src,dst,weight
Inwood Hill Park,Lincoln Square West,1
Williamsbridge/Olinville,Bronx Park,1
South Ozone Park,Sheepshead Bay,1
Ocean Parkway South,South Ozone Park,1
Central Harlem,East Harlem North,3177
Lincoln Square West,Clinton West,2756
Manhattanville,Hamilton Heights,511
Van Cortlandt Village,Van Cortlandt Village,17
JFK Airport,World Trade Center,1138
Clinton East,Meatpacking/West Village West,2988
Midtown South,UN/Turtle Bay South,4555
Times Sq/Theatre District,Steinway,697
Sunset Park West,Bayside,1
Sutton Place/Turtle Bay North,Central Harlem,473
Midtown North,West Chelsea/Hudson Yards,5285
Upper West Side North,Lincoln Square East,16134
Midtown North,Yorkville East,2689
Sunnyside,East Williamsburg,43
East Harlem South,Times Sq/Theatre District,520
Battery Park City,East Harlem South,155
Manhattan Valley,Clinton East,1606
East Harlem South,Two Bridges/Seward Park,125
LaGuardia Airport,Murray Hill-Queens,306
Hudson Sq,Kips Bay,493
Clinton Hill,Boerum Hill,109
JFK Airport,Columbia Street,184
Financial District South,Penn Station/Madison Sq West,820
Pelham Parkway,East Tremont,2
Yorkville West,Financial District North,712
Hudson Sq,Prospect Heights,133
Midtown Center,Financial District North,2187
West Village,Carroll Gardens,326
Astoria,Bushwick North,31
Greenpoint,Midtown East,28
Clinton East,Saint Albans,11
Battery Park,East Chelsea,63
Cobble Hill,DUMBO/Vinegar Hill,124
Long Island City/Queens Plaza,Roosevelt Island,57
East Harlem North,Williamsburg (South Side),7
Murray Hill,Murray Hill-Queens,35
Upper West Side South,East New York,1
Clinton East,Ocean Parkway South,10
Yorkville East,West Farms/Bronx River,11
East Village,Dyker Heights,51
Stuy Town/Peter Cooper Village,Manhattanville,11
Lenox Hill East,Kensington,27
Alphabet City,Hillcrest/Pomonok,3
Astoria,Hillcrest/Pomonok,6
Bushwick South,Ozone Park,1
Washington Heights North,Manhattanville,35
Hunts Point,Soundview/Castle Hill,10
Central Harlem North,Hunts Point,25
West Concourse,Sunnyside,2
Jackson Heights,Bushwick South,9
Elmhurst/Maspeth,Glendale,5
Lincoln Square West,Morrisania/Melrose,10
South Ozone Park,Bushwick North,1
Midtown East,Soundview/Bruckner,14
Washington Heights North,Yorkville East,6
Murray Hill,Ozone Park,13
Astoria,Soundview/Bruckner,5
Elmhurst,East Williamsburg,10
East Tremont,Woodside,2
Astoria,Downtown Brooklyn/MetroTech,8
Murray Hill,Bay Terrace/Fort Totten,15
Lenox Hill West,Flushing,29
Baisley Park,World Trade Center,8
Ridgewood,Williamsburg (North Side),5
Little Italy/NoLiTa,Schuylerville/Edgewater Park,7
Alphabet City,Van Nest/Morris Park,9
Manhattanville,Van Cortlandt Village,4
East Chelsea,East Tremont,10
Corona,Kips Bay,2
Manhattanville,Hudson Sq,4
Forest Hills,Pelham Bay,1
Hamilton Heights,Gowanus,2
Astoria,Alphabet City,8
Upper East Side South,Kew Gardens,34
Battery Park City,East Harlem North,56
Oakland Gardens,Kew Gardens Hills,2
Yorkville West,South Jamaica,2
Maspeth,Queensboro Hill,3
East Elmhurst,Lenox Hill East,9
TriBeCa/Civic Center,College Point,4
Williamsburg (South Side),Brownsville,5
Bay Ridge,Cobble Hill,3
Union Sq,Westchester Village/Unionport,10
East Harlem North,Laurelton,2
Manhattanville,Forest Hills,2
Greenwich Village North,Randalls Island,2
Queensbridge/Ravenswood,Washington Heights South,6
Financial District North,Charleston/Tottenville,1
Lincoln Square West,Homecrest,1
Corona,Baisley Park,2
Clinton Hill,Rockaway Park,1
East Harlem South,Randalls Island,9
Clinton Hill,Gravesend,1
Seaport,Bath Beach,1
Brownsville,Flushing,1
Bushwick South,Mott Haven/Port Morris,1
NV,East Flatbush/Remsen Village,7
West Chelsea/Hudson Yards,East New York/Pennsylvania Avenue,2
Jamaica Estates,LaGuardia Airport,1
South Jamaica,Hammels/Arverne,1
Steinway,University Heights/Morris Heights,3
Battery Park City,Sheepshead Bay,7
East Tremont,Morrisania/Melrose,3
Belmont,Crotona Park East,2
Morningside Heights,North Corona,2
Upper West Side North,East Flatbush/Remsen Village,3
Greenpoint,Midwood,1
Park Slope,Kew Gardens,1
Bellerose,Kew Gardens Hills,1
East New York/Pennsylvania Avenue,Flatlands,1
Sunnyside,Country Club,1
Washington Heights North,UN/Turtle Bay South,3
East Williamsburg,Ocean Parkway South,1
NA,Fordham South,1
Flatiron,Williamsburg (North Side),520
Upper West Side North,Inwood,308
Lenox Hill East,Yorkville East,10148
Yorkville West,Central Harlem North,1088
Midtown North,Lincoln Square East,12276
JFK Airport,Little Italy/NoLiTa,1399
Central Harlem,LaGuardia Airport,299
TriBeCa/Civic Center,Flatiron,3702
Bloomingdale,Midtown Center,345
Upper West Side North,Elmhurst,19
World Trade Center,Midtown Center,1529
LaGuardia Airport,Dyker Heights,49
LaGuardia Airport,Westerleigh,6
Prospect Heights,Newark Airport,1
Lower East Side,Park Slope,1067
Jackson Heights,Queensboro Hill,11
Kensington,Bedford,5
Penn Station/Madison Sq West,Morningside Heights,1037
Hamilton Heights,Penn Station/Madison Sq West,86
East Harlem South,Astoria,164
Gowanus,Boerum Hill,95
Lincoln Square West,Steinway,50
Carroll Gardens,Jamaica,3
Cobble Hill,Clinton Hill,76
Penn Station/Madison Sq West,Brooklyn Heights,442
SoHo,Columbia Street,51
Upper West Side North,Meatpacking/West Village West,461
Yorkville East,Mott Haven/Port Morris,160
Lenox Hill East,Maspeth,50
Midtown North,Woodhaven,14
Battery Park,Midtown East,90
Upper West Side South,Steinway,138
Lincoln Square East,Two Bridges/Seward Park,247
Jamaica,NA,30
East Chelsea,Dyker Heights,46
Cobble Hill,Gramercy,86
Bedford,Alphabet City,20
Hunts Point,East Concourse/Concourse Village,2
East Village,Hamilton Heights,445
Brooklyn Heights,Yorkville West,36
Sunnyside,Meatpacking/West Village West,31
Bronxdale,Claremont/Bathgate,1
Yorkville West,South Williamsburg,24
Chinatown,Flatbush/Ditmas Park,36
Longwood,East Harlem North,4
Kips Bay,Co-Op City,8
Upper West Side North,Greenpoint,71
Fordham South,Highbridge,3
TriBeCa/Civic Center,Bensonhurst West,39
Bath Beach,Gravesend,1
Midtown Center,Midwood,29
Jackson Heights,Middle Village,14
Sunset Park West,NA,2
Steinway,Maspeth,11
Old Astoria,Soundview/Bruckner,1
Lower East Side,Rego Park,45
Queensbridge/Ravenswood,Seaport,12
Kips Bay,Morrisania/Melrose,32
Carroll Gardens,Prospect Heights,68
Kingsbridge Heights,Mott Haven/Port Morris,3
Greenwich Village North,Westchester Village/Unionport,10
Woodside,Bayside,8
Two Bridges/Seward Park,Spuyten Duyvil/Kingsbridge,3
Union Sq,Gravesend,14
Queensbridge/Ravenswood,Soundview/Castle Hill,4
Carroll Gardens,Midtown North,13
Springfield Gardens South,Washington Heights North,2
Melrose South,Crotona Park East,1
Upper East Side South,Borough Park,31
South Jamaica,Astoria,1
Flushing,Lenox Hill East,1
Battery Park City,Dyker Heights,14
Richmond Hill,Ridgewood,2
Lenox Hill West,Marble Hill,5
East New York,Cypress Hills,6
Gowanus,Crown Heights South,15
Midtown Center,Red Hook,43
Red Hook,Clinton Hill,7
Murray Hill,Inwood Hill Park,9
Flatiron,Baisley Park,10
Bedford,Times Sq/Theatre District,4
Penn Station/Madison Sq West,Queensboro Hill,13
Long Island City/Hunters Point,SoHo,13
Financial District North,Starrett City,1
Washington Heights South,Coney Island,1
Fort Greene,Roosevelt Island,2
Union Sq,Mariners Harbor,2
Crown Heights South,Long Island City/Hunters Point,2
World Trade Center,Rego Park,13
DUMBO/Vinegar Hill,East Elmhurst,2
Prospect-Lefferts Gardens,Marine Park/Mill Basin,3
Richmond Hill,Cypress Hills,3
Kew Gardens,Sunnyside,3
Lower East Side,Heartland Village/Todt Hill,3
Red Hook,Garment District,1
West Village,Eastchester,2
Park Slope,Richmond Hill,4
Clinton Hill,Long Island City/Queens Plaza,3
Old Astoria,Brooklyn Navy Yard,1
Columbia Street,East Flatbush/Remsen Village,1
Mount Hope,Van Nest/Morris Park,1
Sunset Park West,Seaport,1
Two Bridges/Seward Park,Madison,1
Long Island City/Hunters Point,Rosedale,1
Midtown South,Charleston/Tottenville,1
Lincoln Square East,East Flatbush/Farragut,1
Jamaica Estates,Corona,1
Corona,Saint Albans,1
Queensboro Hill,Fresh Meadows,1
Norwood,Central Park,1
Flatbush/Ditmas Park,Madison,2
Central Harlem,Bay Ridge,1
Upper West Side North,Manhattan Beach,1
South Williamsburg,Midtown East,1
Upper West Side South,Sheepshead Bay,1
Woodhaven,Midtown East,1
Upper East Side North,Far Rockaway,1
Downtown Brooklyn/MetroTech,Claremont/Bathgate,1
Spuyten Duyvil/Kingsbridge,NV,1
Bay Ridge,Breezy Point/Fort Tilden/Riis Beach,1
Stapleton,Charleston/Tottenville,1
Clinton West,Oakwood,1
Flatiron,City Island,2
Crown Heights South,Baisley Park,1
Crown Heights South,Dyker Heights,1
Rosedale,Union Sq,1
Upper East Side North,Sunnyside,313
Jackson Heights,Penn Station/Madison Sq West,8
Sutton Place/Turtle Bay North,Meatpacking/West Village West,616
West Village,Seaport,714
JFK Airport,East Elmhurst,553
Murray Hill,Astoria,1233
East Harlem South,Central Harlem North,1390
Clinton East,Corona,59
Jackson Heights,Maspeth,52
JFK Airport,Williamsburg (South Side),1640
Union Sq,Inwood,136
Hamilton Heights,NA,11
West Village,Yorkville West,1206
Alphabet City,Yorkville West,246
East Chelsea,Kingsbridge Heights,18
Upper East Side South,Garment District,3475
Flatiron,Bedford,242
Bushwick South,Cypress Hills,5
LaGuardia Airport,Elmhurst,626
Midtown South,World Trade Center,1110
UN/Turtle Bay South,TriBeCa/Civic Center,1088
Sutton Place/Turtle Bay North,Bloomingdale,182
Murray Hill,Lower East Side,2871
Washington Heights South,East Village,23
Central Park,Morningside Heights,1213
Bloomingdale,Meatpacking/West Village West,72
Steinway,Flatiron,3
Astoria,East Village,106
Cobble Hill,East Chelsea,31
Alphabet City,Financial District South,267
Kips Bay,Fort Greene,152
Union Sq,Lower East Side,4554
Midtown South,Williamsburg (South Side),463
SoHo,Hudson Sq,1192
Long Island City/Queens Plaza,UN/Turtle Bay South,83
Fort Greene,Union Sq,45
East Williamsburg,East Village,116
Lincoln Square West,Brooklyn Heights,77
Financial District South,Seaport,798
East Harlem North,Kingsbridge Heights,40
JFK Airport,Brighton Beach,320
Gramercy,Washington Heights South,270
Chinatown,Financial District North,1087
Central Harlem,Red Hook,1
Bloomingdale,East Chelsea,253
Williamsburg (South Side),East Williamsburg,664
Woodside,Corona,45
DUMBO/Vinegar Hill,Crown Heights North,48
East Williamsburg,Union Sq,11
Two Bridges/Seward Park,Midtown North,121
Fort Greene,Park Slope,375
World Trade Center,Old Astoria,24
Lower East Side,Maspeth,80
Yorkville East,Inwood,63
Stuy Town/Peter Cooper Village,Cypress Hills,2
Kips Bay,Highbridge Park,3
Lincoln Square East,West Farms/Bronx River,13
Sunnyside,Crown Heights North,21
East Concourse/Concourse Village,Kingsbridge Heights,4
Manhattan Valley,Bushwick North,11
Two Bridges/Seward Park,Carroll Gardens,64
Prospect Heights,Gowanus,33
Clinton East,Longwood,28
Ocean Hill,East Harlem North,2
Spuyten Duyvil/Kingsbridge,Lower East Side,1
Manhattanville,Bedford Park,14
NV,Stuy Town/Peter Cooper Village,104
Elmhurst,Alphabet City,6
Washington Heights South,West Farms/Bronx River,2
World Trade Center,Glendale,4
East Tremont,Hamilton Heights,1
East Chelsea,Ridgewood,75
Midtown South,Murray Hill-Queens,34
Midtown East,Briarwood/Jamaica Hills,43
Sutton Place/Turtle Bay North,Inwood,88
Union Sq,Kingsbridge Heights,22
Financial District South,Windsor Terrace,83
East Harlem South,Bronx Park,5
Manhattan Valley,Parkchester,7
Bushwick North,Glendale,7
East Chelsea,Briarwood/Jamaica Hills,15
Midtown East,Stuyvesant Heights,119
Kew Gardens,Springfield Gardens South,4
Park Slope,Two Bridges/Seward Park,43
Mott Haven/Port Morris,Rego Park,1
Upper East Side North,Boerum Hill,77
NV,Bloomingdale,77
Midtown East,Ozone Park,13
Gramercy,Westchester Village/Unionport,17
Greenwich Village South,Forest Hills,87
Garment District,Kew Gardens Hills,27
Jackson Heights,Parkchester,2
Brooklyn Heights,Brownsville,5
Astoria,Queensboro Hill,2
Fort Greene,Flatlands,9
Mott Haven/Port Morris,Murray Hill,1
Financial District North,Oakwood,1
Prospect-Lefferts Gardens,Flatiron,4
Morningside Heights,Parkchester,15
Morningside Heights,Morrisania/Melrose,19
East Flatbush/Remsen Village,Flatlands,2
World Trade Center,Washington Heights North,28
Jackson Heights,Marine Park/Floyd Bennett Field,1
NA,Financial District North,2
Upper East Side North,Flatlands,11
Brooklyn Heights,Kensington,35
Red Hook,Financial District South,2
Newark Airport,Upper East Side South,1
Flushing Meadows-Corona Park,Lincoln Square East,15
Windsor Terrace,World Trade Center,6
Windsor Terrace,Financial District South,2
Roosevelt Island,Lincoln Square East,3
Sutton Place/Turtle Bay North,East Flushing,5
TriBeCa/Civic Center,Westerleigh,3
West Chelsea/Hudson Yards,Ocean Hill,11
Elmhurst,Kew Gardens Hills,7
Greenwich Village South,Kingsbridge Heights,6
Queensbridge/Ravenswood,Newark Airport,1
Carroll Gardens,Bath Beach,4
Bayside,Greenwich Village North,1
Woodside,Columbia Street,1
Hudson Sq,Flushing Meadows-Corona Park,1
Penn Station/Madison Sq West,Broad Channel,1
Maspeth,Lincoln Square East,2
Manhattanville,Highbridge Park,2
Two Bridges/Seward Park,Flushing Meadows-Corona Park,4
Meatpacking/West Village West,Willets Point,1
Corona,NV,4
Bushwick North,Bloomingdale,2
Park Slope,Longwood,1
East Chelsea,South Jamaica,4
Sunset Park West,Bath Beach,2
DUMBO/Vinegar Hill,Elmhurst/Maspeth,1
Steinway,East Concourse/Concourse Village,6
Lower East Side,Oakland Gardens,4
Prospect-Lefferts Gardens,Far Rockaway,2
South Ozone Park,Seaport,2
North Corona,Queensbridge/Ravenswood,1
Manhattanville,Crown Heights South,1
Norwood,Eastchester,1
Roosevelt Island,East Harlem South,2
World Trade Center,Oakwood,1
Garment District,Hammels/Arverne,2
Ocean Hill,Greenpoint,1
Long Island City/Queens Plaza,West Concourse,1
Gowanus,Flatlands,1
Bellerose,Oakland Gardens,1
Madison,Midtown Center,1
Carroll Gardens,Whitestone,1
Prospect Park,Cypress Hills,1
Midtown South,Willets Point,1
East Harlem North,Canarsie,1
West Village,Broad Channel,1
Parkchester,Murray Hill,1
East Harlem North,Central Harlem,2903
Clinton East,Lincoln Square West,7971
Upper East Side South,Newark Airport,252
Murray Hill,Midtown North,7431
Lincoln Square West,Upper East Side North,3905
Lincoln Square West,Lenox Hill West,1756
Corona,North Corona,39
Penn Station/Madison Sq West,Corona,43
Central Harlem North,Lincoln Square East,94
Penn Station/Madison Sq West,UN/Turtle Bay South,6583
West Chelsea/Hudson Yards,Manhattanville,137
SoHo,Central Harlem North,87
Steinway,JFK Airport,30
Midtown East,Williamsbridge/Olinville,17
LaGuardia Airport,South Jamaica,98
Astoria,Long Island City/Hunters Point,575
Fort Greene,Newark Airport,7
LaGuardia Airport,Hillcrest/Pomonok,291
Boerum Hill,Clinton Hill,322
LaGuardia Airport,Financial District South,1123
Central Harlem North,Upper West Side South,174
Penn Station/Madison Sq West,Forest Hills,181
East Harlem North,Midtown South,117
Morningside Heights,Crown Heights South,3
Financial District North,Erasmus,26
Central Harlem North,Windsor Terrace,1
Sunnyside,Bensonhurst West,3
Little Italy/NoLiTa,Roosevelt Island,24
Chinatown,Yorkville East,98
Clinton West,Old Astoria,91
Rego Park,Kips Bay,4
JFK Airport,Red Hook,137
Prospect Park,East Williamsburg,5
Morningside Heights,Greenwich Village North,117
Central Harlem,Greenwich Village North,53
Penn Station/Madison Sq West,Van Cortlandt Village,45
Flatlands,Sunset Park West,1
Downtown Brooklyn/MetroTech,Upper West Side North,27
Lower East Side,Riverdale/North Riverdale/Fieldston,13
Financial District North,Long Island City/Hunters Point,158
East Chelsea,Prospect Heights,155
Washington Heights North,University Heights/Morris Heights,28
Inwood,Hamilton Heights,29
Seaport,Stuyvesant Heights,36
Sunset Park West,East Chelsea,7
Fort Greene,Crown Heights South,42
East Harlem South,Queensbridge/Ravenswood,28
Hamilton Heights,Greenwich Village South,12
Lenox Hill West,Westchester Village/Unionport,29
Stuyvesant Heights,Rego Park,5
Greenwich Village South,Maspeth,36
Boerum Hill,SoHo,54
Stuyvesant Heights,Clinton East,3
Old Astoria,East New York,4
Manhattan Beach,Marine Park/Mill Basin,2
Alphabet City,Cypress Hills,1
Forest Hills,Kew Gardens Hills,65
Williamsburg (North Side),Kew Gardens,3
Bay Ridge,Boerum Hill,6
Prospect Heights,Manhattan Valley,2
East New York/Pennsylvania Avenue,Queens Village,1
Times Sq/Theatre District,Marble Hill,12
Garment District,Manhattanville,187
East Elmhurst,Woodhaven,3
Sunnyside,Fort Greene,10
Mott Haven/Port Morris,Stuyvesant Heights,2
Mott Haven/Port Morris,Midtown North,2
Cobble Hill,Springfield Gardens South,1
Sutton Place/Turtle Bay North,Sunset Park West,38
Yorkville East,East Concourse/Concourse Village,82
Manhattanville,Mott Haven/Port Morris,37
Central Harlem North,Roosevelt Island,3
Meatpacking/West Village West,Marble Hill,4
Crown Heights North,Coney Island,1
Midtown North,Van Nest/Morris Park,10
Sunset Park West,Brownsville,2
Windsor Terrace,Dyker Heights,1
Astoria Park,Upper East Side South,5
Elmhurst,Queensbridge/Ravenswood,8
Prospect Heights,Little Italy/NoLiTa,18
Randalls Island,South Ozone Park,1
Prospect-Lefferts Gardens,Madison,2
Lincoln Square West,Carroll Gardens,21
Brooklyn Heights,East Harlem North,3
East Williamsburg,Rego Park,11
Sutton Place/Turtle Bay North,Laurelton,2
Greenwich Village North,Mariners Harbor,6
Ozone Park,Rego Park,3
NV,Williamsbridge/Olinville,5
Long Island City/Queens Plaza,Jamaica Estates,7
Penn Station/Madison Sq West,Marble Hill,6
Queensboro Hill,JFK Airport,2
Woodside,Brownsville,3
Yorkville West,East Flatbush/Remsen Village,4
Lenox Hill West,Highbridge Park,4
Sutton Place/Turtle Bay North,Fresh Meadows,3
Hudson Sq,Fordham South,2
Cobble Hill,Ocean Hill,3
East Elmhurst,Laurelton,3
Central Park,Prospect Park,3
Long Island City/Hunters Point,Bronxdale,1
South Ozone Park,West Village,3
Jackson Heights,Oakland Gardens,2
Stuy Town/Peter Cooper Village,Queensboro Hill,1
Briarwood/Jamaica Hills,Sunnyside,1
Columbia Street,Times Sq/Theatre District,3
Financial District North,Bronx Park,1
Ocean Parkway South,Bath Beach,1
Elmhurst,West Concourse,2
Manhattan Beach,Financial District North,1
Gowanus,Bath Beach,1
Newark Airport,Corona,1
Saint Michaels Cemetery/Woodside,East Chelsea,1
Prospect Park,Midtown South,1
Central Harlem North,Bensonhurst East,1
Forest Hills,Morningside Heights,1
Hudson Sq,Crotona Park East,2
East Flushing,Auburndale,1
Greenpoint,Springfield Gardens South,1
Lincoln Square West,Bensonhurst East,2
Williamsburg (South Side),Springfield Gardens South,1
Fresh Meadows,Bay Terrace/Fort Totten,1
Seaport,Briarwood/Jamaica Hills,1
Hudson Sq,Pelham Parkway,1
Midtown East,Midtown Center,12532
LaGuardia Airport,East Williamsburg,1205
East Harlem North,Central Harlem North,1771
JFK Airport,Yorkville West,2325
Bedford,Union Sq,9
Morningside Heights,Lincoln Square East,2023
Clinton West,East Harlem South,466
Brooklyn Heights,West Village,102
Midtown North,Park Slope,337
Lower East Side,Newark Airport,102
World Trade Center,Flatiron,678
Yorkville East,Times Sq/Theatre District,1094
Chinatown,Hamilton Heights,21
Gowanus,JFK Airport,5
Greenwich Village South,Little Italy/NoLiTa,3482
Lenox Hill East,Woodside,187
Crown Heights North,Bushwick South,43
West Village,Downtown Brooklyn/MetroTech,380
Lower East Side,Old Astoria,236
Central Harlem,NA,12
Clinton Hill,DUMBO/Vinegar Hill,54
UN/Turtle Bay South,Seaport,316
Garment District,Rego Park,73
Alphabet City,Red Hook,7
JFK Airport,Breezy Point/Fort Tilden/Riis Beach,29
Financial District North,South Ozone Park,31
Lincoln Square East,Greenpoint,278
World Trade Center,Williamsburg (North Side),169
Midtown East,Hudson Sq,944
East Williamsburg,Glendale,8
Clinton East,Park Slope,519
Clinton Hill,Penn Station/Madison Sq West,15
Penn Station/Madison Sq West,East Flatbush/Remsen Village,35
University Heights/Morris Heights,Highbridge,14
Crown Heights South,Bushwick South,8
Yorkville West,Spuyten Duyvil/Kingsbridge,49
Williamsburg (South Side),East Harlem South,27
Long Island City/Hunters Point,East Harlem North,21
Long Island City/Hunters Point,Seaport,7
Long Island City/Hunters Point,East Williamsburg,57
Stuyvesant Heights,Clinton Hill,49
Hamilton Heights,Marine Park/Mill Basin,1
Williamsburg (North Side),Sunset Park West,33
Astoria,Roosevelt Island,90
Prospect-Lefferts Gardens,Crown Heights North,108
Union Sq,Heartland Village/Todt Hill,15
Steinway,Stuyvesant Heights,6
Belmont,Soundview/Castle Hill,2
Astoria,Bay Terrace/Fort Totten,6
Woodside,Williamsburg (South Side),10
Gramercy,South Ozone Park,23
UN/Turtle Bay South,East Elmhurst,18
Times Sq/Theatre District,South Williamsburg,21
Old Astoria,Sunset Park East,2
Bushwick North,Lenox Hill West,3
Lenox Hill East,Carroll Gardens,84
Clinton Hill,Hamilton Heights,3
West Village,Kew Gardens,18
Sunnyside,Howard Beach,8
West Chelsea/Hudson Yards,Elmhurst,29
Queensbridge/Ravenswood,Midtown Center,32
Seaport,Long Island City/Queens Plaza,10
Woodside,Upper East Side North,83
Battery Park City,Cobble Hill,140
Upper West Side North,Fordham South,12
Far Rockaway,East New York,1
Garment District,Parkchester,52
JFK Airport,Brooklyn Navy Yard,53
Central Park,Glendale,3
DUMBO/Vinegar Hill,Upper West Side South,12
Union Sq,Corona,40
Greenwich Village North,Prospect Park,38
Long Island City/Hunters Point,DUMBO/Vinegar Hill,7
Flatiron,Rossville/Woodrow,1
Yorkville West,Bensonhurst East,2
Garment District,Dyker Heights,21
Lower East Side,Inwood Hill Park,4
Lincoln Square East,Melrose South,42
Yorkville East,Murray Hill-Queens,3
Garment District,West Concourse,39
Forest Hills,Park Slope,2
Ocean Hill,Cypress Hills,6
Sunnyside,Battery Park City,38
Greenwich Village North,Marble Hill,2
Jackson Heights,Lincoln Square East,9
Old Astoria,Fort Greene,6
Murray Hill,Rossville/Woodrow,3
World Trade Center,Queens Village,5
Seaport,Ocean Parkway South,3
West Chelsea/Hudson Yards,Bloomfield/Emerson Hill,3
Woodside,East Concourse/Concourse Village,4
Columbia Street,Midtown Center,8
Kips Bay,Madison,4
Mount Hope,Manhattan Valley,1
Springfield Gardens South,Lincoln Square West,2
Washington Heights North,Greenwich Village South,5
Upper East Side North,Co-Op City,16
Upper West Side South,Crotona Park,3
Ocean Hill,Brownsville,14
University Heights/Morris Heights,Bedford Park,3
Sunset Park East,Flatbush/Ditmas Park,5
Greenpoint,Inwood,2
Fordham South,Van Cortlandt Village,1
Ocean Hill,South Ozone Park,2
Lower East Side,Westerleigh,2
Borough Park,Times Sq/Theatre District,1
Stuy Town/Peter Cooper Village,Soundview/Bruckner,1
Ocean Parkway South,Midtown East,2
West Village,Marine Park/Floyd Bennett Field,1
Times Sq/Theatre District,Crotona Park,1
Meatpacking/West Village West,Bloomfield/Emerson Hill,2
Marble Hill,Riverdale/North Riverdale/Fieldston,2
Inwood,Williamsbridge/Olinville,1
Baisley Park,Williamsburg (South Side),2
Upper West Side South,Whitestone,3
South Williamsburg,Mott Haven/Port Morris,1
Greenpoint,Hillcrest/Pomonok,1
Bath Beach,Stuyvesant Heights,1
Baisley Park,Hillcrest/Pomonok,2
East Flatbush/Farragut,Little Italy/NoLiTa,1
Morrisania/Melrose,Van Cortlandt Village,2
Long Island City/Queens Plaza,Highbridge Park,1
Morningside Heights,Pelham Bay,2
Corona,Steinway,1
Howard Beach,Seaport,2
Battery Park,Homecrest,1
Hudson Sq,Bay Terrace/Fort Totten,1
Stuyvesant Heights,Flatiron,1
Times Sq/Theatre District,West Brighton,1
Flatlands,Hammels/Arverne,1
Central Park,East Flushing,1
Crown Heights South,Midtown East,1
Jamaica,Prospect-Lefferts Gardens,1
Bay Ridge,Saint George/New Brighton,1
Prospect Heights,Washington Heights North,1
East Village,Richmond Hill,20
Lincoln Square East,West Chelsea/Hudson Yards,3353
Manhattan Valley,East Tremont,24
Greenwich Village South,Kips Bay,2593
Gramercy,Crown Heights South,65
Union Sq,Two Bridges/Seward Park,1703
East Village,Lincoln Square West,941
Flatiron,Garment District,4259
Sutton Place/Turtle Bay North,Upper West Side North,1577
Lincoln Square East,Upper West Side North,18529
Sutton Place/Turtle Bay North,Lincoln Square East,3471
Penn Station/Madison Sq West,Sunnyside,510
Lower East Side,Washington Heights North,140
East Harlem South,Penn Station/Madison Sq West,522
Yorkville West,Long Island City/Hunters Point,318
East Harlem South,Saint Albans,6
Kips Bay,JFK Airport,512
Meatpacking/West Village West,Midtown South,2319
Battery Park City,Garment District,1118
Hamilton Heights,West Chelsea/Hudson Yards,132
East Harlem North,LaGuardia Airport,274
Upper East Side North,Washington Heights North,454
LaGuardia Airport,Melrose South,88
Central Harlem North,Flatiron,25
JFK Airport,Soundview/Castle Hill,117
Murray Hill,Meatpacking/West Village West,2132
Yorkville East,Midtown North,1534
Yorkville East,Lincoln Square West,746
Central Harlem,Union Sq,142
Clinton East,Norwood,35
Yorkville East,Hamilton Heights,189
Upper East Side North,NA,47
Upper West Side South,World Trade Center,185
Downtown Brooklyn/MetroTech,East Elmhurst,8
Murray Hill,Country Club,5
Greenwich Village South,Gowanus,105
Brooklyn Heights,Carroll Gardens,380
Yorkville West,Marble Hill,10
Long Island City/Hunters Point,Maspeth,43
Lenox Hill East,East New York,11
Manhattan Valley,West Concourse,66
Lenox Hill West,DUMBO/Vinegar Hill,74
Central Harlem North,Greenwich Village South,21
Bloomingdale,Lenox Hill East,236
Manhattanville,Union Sq,51
Cobble Hill,TriBeCa/Civic Center,210
Fort Greene,Midtown North,17
Midtown East,Prospect Park,17
East Harlem North,Steinway,63
Greenwich Village North,NA,83
Bloomingdale,Midtown South,134
Sunnyside,Westchester Village/Unionport,4
Stuy Town/Peter Cooper Village,Forest Hills,9
Lenox Hill East,Flatbush/Ditmas Park,42
Crown Heights North,Bedford,169
Midtown East,Allerton/Pelham Gardens,14
Williamsburg (North Side),Chinatown,34
South Ozone Park,Ridgewood,1
Upper East Side North,Van Cortlandt Village,35
Meatpacking/West Village West,Clinton Hill,227
Little Italy/NoLiTa,Forest Hills,58
Highbridge Park,Mott Haven/Port Morris,1
Alphabet City,Morningside Heights,45
Highbridge,Highbridge Park,1
Middle Village,Long Island City/Queens Plaza,1
Bushwick North,Morningside Heights,3
Boerum Hill,Washington Heights North,4
Yorkville West,East Tremont,18
Union Sq,Red Hook,69
Melrose South,Washington Heights South,8
Lower East Side,Highbridge,15
Queensbridge/Ravenswood,Forest Hills,12
Jackson Heights,Mott Haven/Port Morris,16
Flatiron,Windsor Terrace,116
Astoria,Hudson Sq,12
Queensbridge/Ravenswood,Maspeth,7
Clinton East,Allerton/Pelham Gardens,10
Upper East Side North,Briarwood/Jamaica Hills,11
Little Italy/NoLiTa,Claremont/Bathgate,2
Arrochar/Fort Wadsworth,Arrochar/Fort Wadsworth,27
Jackson Heights,Williamsbridge/Olinville,1
Lenox Hill West,Red Hook,15
Astoria Park,Morningside Heights,2
Bedford,Brooklyn Heights,22
Murray Hill,Flushing Meadows-Corona Park,13
Bedford,Greenwich Village South,10
Saint Michaels Cemetery/Woodside,LaGuardia Airport,6
Corona,Briarwood/Jamaica Hills,3
Sutton Place/Turtle Bay North,Murray Hill-Queens,14
Flatiron,Oakwood,1
