src,dst,count,month,avg_fare
Midtown Center,Lincoln Square West,3755,1,13.212178428761703
Midtown Center,Sunset Park East,23,1,47.19565217391305
Midtown East,Fresh Meadows,15,1,43.919999999999995
Midtown South,Chinatown,555,1,17.393513513513494
Midtown South,South Williamsburg,77,1,25.302727272727278
Morningside Heights,Crotona Park East,10,1,29.016000000000002
Murray Hill,Dyker Heights,27,1,46.486666666666665
NV,Washington Heights North,45,1,32.27444444444444
NV,Yorkville West,343,1,16.63259475218658
Ocean Hill,Prospect-Lefferts Gardens,4,1,15.57
Old Astoria,East Harlem South,31,1,25.90516129032258
Old Astoria,Upper East Side South,115,1,16.868782608695657
Park Slope,Glendale,5,1,30.171999999999997
Penn Station/Madison Sq West,Jamaica Estates,22,1,50.61954545454545
Penn Station/Madison Sq West,Richmond Hill,13,1,49.51076923076923
Port Richmond,Mariners Harbor,1,1,70.3
Prospect-Lefferts Gardens,LaGuardia Airport,6,1,44.62833333333333
Queensboro Hill,College Point,2,1,12.55
Queensbridge/Ravenswood,Jackson Heights,13,1,19.153846153846157
Queensbridge/Ravenswood,Red Hook,2,1,29.55
Riverdale/North Riverdale/Fieldston,Washington Heights South,3,1,20.250000000000004
SoHo,SoHo,1707,1,9.393005272407736
Soundview/Bruckner,Longwood,2,1,11.3
South Ozone Park,Forest Park/Highland Park,1,1,11.8
South Ozone Park,Midtown South,7,1,65.45
Steinway,Chinatown,2,1,50.099999999999994
Stuy Town/Peter Cooper Village,Brooklyn Heights,75,1,20.247733333333336
Sunset Park West,Financial District South,5,1,26.682
Sutton Place/Turtle Bay North,Midtown South,3658,1,11.809084199015917
Times Sq/Theatre District,Rego Park,127,1,34.9663779527559
Two Bridges/Seward Park,Times Sq/Theatre District,222,1,21.078198198198194
Union Sq,East Chelsea,15537,1,9.376131170753496
Union Sq,Kew Gardens,34,1,46.984411764705875
Upper East Side North,Longwood,29,1,20.927241379310345
Upper East Side North,Yorkville West,17261,1,7.086398818144768
Upper West Side North,Flushing Meadows-Corona Park,1,1,65.96
Upper West Side North,Howard Beach,2,1,51.05
Upper West Side North,Midtown East,2860,1,18.004279720279754
West Chelsea/Hudson Yards,Melrose South,12,1,34.891666666666666
West Chelsea/Hudson Yards,Parkchester,8,1,41.0175
West Chelsea/Hudson Yards,Van Nest/Morris Park,4,1,43.2625
West Concourse,UN/Turtle Bay South,3,1,25.96666666666667
West Concourse,Union Sq,3,1,31.316666666666663
West Village,Pelham Parkway,22,1,57.01545454545455
Westchester Village/Unionport,Kingsbridge Heights,1,1,17.8
Williamsburg (South Side),Kew Gardens Hills,2,1,41.89
Windsor Terrace,Meatpacking/West Village West,1,1,87.0
Woodside,Gramercy,44,1,25.91181818181818
Woodside,SoHo,6,1,38.955
World Trade Center,Coney Island,4,1,46.31
World Trade Center,Jackson Heights,48,1,39.3025
Yorkville East,Clinton Hill,13,1,37.22307692307692
Yorkville West,Starrett City,1,1,45.8
Alphabet City,Manhattan Beach,2,1,67.575
Astoria,Kingsbridge Heights,2,1,38.665000000000006
Battery Park City,Financial District North,3165,1,10.056385466034792
Bay Ridge,Hudson Sq,2,1,48.565
Bedford Park,Woodlawn/Wakefield,1,1,14.8
Bloomingdale,Queens Village,1,1,65.3
Boerum Hill,East Harlem South,17,1,33.161764705882355
Brighton Beach,Midtown South,1,1,54.8
Brownsville,NV,1,1,3.8
Bushwick North,Upper East Side South,5,1,29.642000000000003
Central Park,Canarsie,2,1,83.555
Central Park,West Village,586,1,20.682901023890775
Chinatown,Bath Beach,4,1,38.05
Chinatown,Bay Ridge,29,1,32.57689655172414
Clinton Hill,Gowanus,23,1,13.00695652173913
Corona,TriBeCa/Civic Center,1,1,63.35
Cypress Hills,Bushwick South,6,1,11.051666666666668
DUMBO/Vinegar Hill,Central Harlem,3,1,39.553333333333335
East Chelsea,Manhattan Beach,5,1,62.29
East Chelsea,Norwood,14,1,46.63571428571429
East Concourse/Concourse Village,Schuylerville/Edgewater Park,1,1,30.96
East Concourse/Concourse Village,Upper East Side North,1,1,16.8
East Elmhurst,Flatlands,1,1,53.8
East Harlem North,Country Club,1,1,29.8
East Village,Inwood Hill Park,7,1,44.374285714285726
East Village,Manhattanville,192,1,32.88999999999999
East Williamsburg,East Harlem South,5,1,30.369999999999997
Elmhurst,East Elmhurst,43,1,12.714418604651161
Financial District North,Bloomingdale,46,1,34.50934782608695
Financial District North,Ocean Hill,12,1,28.27583333333334
Financial District South,Sunset Park West,55,1,27.64909090909091
Flatbush/Ditmas Park,Astoria,1,1,55.56
Flatbush/Ditmas Park,Green-Wood Cemetery,1,1,11.3
Flatbush/Ditmas Park,World Trade Center,2,1,31.354999999999997
Fort Greene,Kew Gardens,1,1,37.8
Fort Greene,Yorkville East,15,1,31.273999999999994
Garment District,Maspeth,60,1,30.688166666666667
Glendale,Elmhurst,2,1,22.630000000000003
Gowanus,Upper West Side North,3,1,42.25333333333334
Gramercy,East Flushing,6,1,44.046666666666674
Greenpoint,Bay Terrace/Fort Totten,1,1,50.38
Greenwich Village North,Long Island City/Hunters Point,236,1,26.46588983050847
Greenwich Village North,Stuyvesant Heights,160,1,26.445562499999994
Hamilton Heights,Midtown South,44,1,29.87409090909091
Hillcrest/Pomonok,UN/Turtle Bay South,1,1,101.19
Hudson Sq,Queens Village,2,1,75.3
Hunts Point,NA,3,1,61.00333333333333
Inwood,Midtown Center,5,1,35.528
Inwood,Penn Station/Madison Sq West,5,1,34.471999999999994
JFK Airport,Grymes Hill/Clifton,31,1,81.19032258064514
Kensington,Alphabet City,1,1,43.84
LaGuardia Airport,South Beach/Dongan Hills,2,1,103.97999999999999
Lenox Hill East,Briarwood/Jamaica Hills,32,1,46.3925
Lenox Hill East,Clinton West,443,1,17.512618510158003
Lenox Hill East,Union Sq,1988,1,19.216001006036265
Lenox Hill West,Marine Park/Mill Basin,8,1,73.01375
Lincoln Square East,Brooklyn Heights,257,1,33.78322957198443
Lincoln Square East,Glen Oaks,1,1,81.34
Little Italy/NoLiTa,Springfield Gardens South,2,1,55.3
Long Island City/Queens Plaza,Woodhaven,1,1,56.62
Lower East Side,Bedford Park,17,1,46.111176470588234
Lower East Side,Parkchester,12,1,45.637499999999996
Lower East Side,Ridgewood,367,1,24.037765667574924
Lower East Side,Stapleton,6,1,59.926666666666655
Manhattan Valley,Lenox Hill West,1005,1,16.668388059701496
Manhattan Valley,South Williamsburg,2,1,31.05
Manhattan Valley,University Heights/Morris Heights,35,1,24.59485714285714
Manhattan Valley,Woodhaven,4,1,54.807500000000005
Manhattanville,West Chelsea/Hudson Yards,70,1,21.879285714285718
Marine Park/Mill Basin,Flatbush/Ditmas Park,2,1,18.09
Maspeth,JFK Airport,31,1,62.80806451612903
Meatpacking/West Village West,Upper West Side South,1027,1,20.08670886075952
Midtown Center,Central Harlem,1018,1,19.30212180746563
Midtown Center,Sunset Park West,92,1,43.72
Midtown East,College Point,20,1,46.3875
Midtown North,South Jamaica,4,1,50.245000000000005
Midtown North,Steinway,461,1,24.498763557483723
Midtown South,Battery Park City,1968,1,20.776148373983794
Midwood,Homecrest,7,1,12.294285714285715
Morningside Heights,Mott Haven/Port Morris,76,1,14.450000000000001
Mott Haven/Port Morris,Eastchester,1,1,32.16
Murray Hill,Charleston/Tottenville,2,1,127.98
Murray Hill,Van Cortlandt Village,29,1,38.08310344827586
NV,Steinway,49,1,23.54877551020408
Newark Airport,Meatpacking/West Village West,1,1,69.35
Old Astoria,Midtown Center,79,1,19.412025316455697
Ozone Park,NA,2,1,209.175
Park Slope,Central Harlem,11,1,46.22272727272727
Park Slope,Flatbush/Ditmas Park,252,1,15.398888888888889
Park Slope,Highbridge,1,1,41.3
Pelham Parkway,Pelham Parkway,36,1,13.606944444444444
Penn Station/Madison Sq West,Steinway,392,1,31.69464285714285
Penn Station/Madison Sq West,Upper East Side South,6086,1,16.31957936247112
Red Hook,Manhattan Valley,1,1,39.8
Riverdale/North Riverdale/Fieldston,Midtown North,2,1,39.09
Riverdale/North Riverdale/Fieldston,Washington Heights North,2,1,21.09
Roosevelt Island,Lincoln Square West,1,1,21.3
Saint George/New Brighton,Saint George/New Brighton,4,1,18.545
Schuylerville/Edgewater Park,West Farms/Bronx River,2,1,17.8
Sheepshead Bay,Midwood,3,1,11.133333333333335
SoHo,Midtown South,1759,1,14.228709494030731
South Williamsburg,Crown Heights North,21,1,14.601428571428569
Springfield Gardens North,Saint Albans,2,1,16.65
Starrett City,Financial District North,1,1,70.01
Steinway,Greenpoint,20,1,22.566499999999998
Sunset Park West,Crown Heights South,10,1,19.519
Sutton Place/Turtle Bay North,Breezy Point/Fort Tilden/Riis Beach,1,1,86.5
Sutton Place/Turtle Bay North,Bushwick South,96,1,30.694270833333338
Sutton Place/Turtle Bay North,Randalls Island,16,1,26.2975
Times Sq/Theatre District,Westerleigh,14,1,81.42928571428571
Union Sq,Bushwick North,230,1,30.506217391304332
Union Sq,Sutton Place/Turtle Bay North,4106,1,14.34355090112033
University Heights/Morris Heights,Williamsbridge/Olinville,2,1,18.8
University Heights/Morris Heights,Yorkville West,1,1,32.15
Upper East Side North,East Flushing,5,1,41.73199999999999
Upper East Side North,Inwood,152,1,28.786184210526315
Upper East Side South,City Island,2,1,47.8
Upper East Side South,Highbridge Park,5,1,28.910000000000004
Upper East Side South,South Ozone Park,21,1,52.38619047619047
Van Nest/Morris Park,Midtown South,1,1,48.96
Washington Heights North,LaGuardia Airport,18,1,44.547222222222224
Washington Heights North,Lincoln Square West,11,1,25.787272727272725
Washington Heights South,East Tremont,11,1,18.29727272727273
Washington Heights South,Manhattanville,385,1,9.992285714285714
Washington Heights South,Upper East Side South,80,1,28.536625000000004
West Village,NV,205,1,12.212634146341468
Williamsburg (North Side),Inwood,9,1,52.34
Williamsburg (North Side),Little Italy/NoLiTa,133,1,17.090827067669174
Williamsburg (South Side),Highbridge,3,1,34.3
Yorkville East,Brighton Beach,2,1,60.82
Alphabet City,NV,37,1,12.568648648648649
Astoria,Laurelton,1,1,40.8
Astoria,Lenox Hill East,327,1,16.35666666666666
Astoria Park,East Elmhurst,1,1,45.6
Baisley Park,Midtown Center,46,1,65.53391304347826
Baisley Park,SoHo,13,1,57.33846153846153
Battery Park City,Long Island City/Queens Plaza,10,1,42.779999999999994
Bay Ridge,Financial District North,2,1,28.57
Bay Terrace/Fort Totten,Bay Terrace/Fort Totten,7,1,26.81714285714285
Bedford,Brownsville,17,1,15.855882352941178
Bedford,Glendale,1,1,13.8
Bedford,UN/Turtle Bay South,3,1,29.96666666666667
Boerum Hill,Lenox Hill West,26,1,31.066538461538464
Briarwood/Jamaica Hills,Woodside,6,1,33.20166666666666
Brooklyn Navy Yard,Williamsburg (North Side),5,1,13.626
Brownsville,Jamaica,2,1,48.23
Bushwick North,East Flatbush/Remsen Village,1,1,16.3
Bushwick South,LaGuardia Airport,3,1,33.85333333333333
Bushwick South,Woodhaven,3,1,22.3
Central Harlem,East Flatbush/Remsen Village,1,1,70.8
Central Harlem,East Village,101,1,28.867524752475248
Central Harlem North,Inwood Hill Park,2,1,17.55
Central Harlem North,West Farms/Bronx River,11,1,20.204545454545453
Central Park,Brooklyn Heights,78,1,34.41717948717949
Chinatown,Maspeth,4,1,23.44
Clinton West,Spuyten Duyvil/Kingsbridge,56,1,36.57267857142857
Cobble Hill,SoHo,43,1,19.743255813953486
Columbia Street,Prospect Park,2,1,14.82
Crown Heights North,Yorkville West,2,1,65.55
Douglaston,Jamaica Estates,1,1,9.8
Downtown Brooklyn/MetroTech,Glendale,2,1,38.875
Downtown Brooklyn/MetroTech,Sunset Park East,16,1,24.266875
East Elmhurst,Stuyvesant Heights,2,1,45.32
East Elmhurst,Sutton Place/Turtle Bay North,3,1,25.133333333333336
East Harlem North,Flushing Meadows-Corona Park,2,1,43.09
East Harlem North,Lincoln Square West,78,1,21.032307692307693
East Harlem North,Pelham Bay,5,1,31.741999999999997
East Harlem South,Co-Op City,10,1,35.854
East Harlem South,Upper West Side North,3781,1,9.751867230891358
East New York,Erasmus,2,1,19.905
Eastchester,Claremont/Bathgate,1,1,36.51
Elmhurst,Middle Village,70,1,9.362857142857143
Elmhurst,Williamsburg (South Side),6,1,21.608333333333334
Elmhurst/Maspeth,Times Sq/Theatre District,3,1,25.646666666666665
Erasmus,Seaport,2,1,25.275
Financial District South,Hudson Sq,289,1,13.427024221453287
Flatiron,Bushwick North,201,1,31.205771144278597
Flatiron,Chinatown,424,1,15.303891509433955
Flatiron,Fresh Meadows,1,1,53.34
Flatiron,Long Island City/Hunters Point,255,1,24.840862745098036
Flatiron,Pelham Parkway,7,1,46.32
Flatiron,Prospect Heights,154,1,28.413506493506496
Flatiron,Van Cortlandt Park,3,1,42.13333333333333
Flatiron,Westchester Village/Unionport,5,1,41.2
Forest Hills,Ocean Parkway South,1,1,63.35
Garment District,Bushwick South,177,1,34.79440677966102
Greenpoint,Borough Park,1,1,37.3
Greenpoint,Corona,4,1,26.14
Greenpoint,East Flatbush/Remsen Village,2,1,26.05
Greenpoint,Kips Bay,16,1,23.676250000000003
Greenwich Village South,Allerton/Pelham Gardens,8,1,57.995000000000005
Greenwich Village South,Sunset Park West,128,1,29.028125
Hamilton Heights,Boerum Hill,3,1,47.276666666666664
Homecrest,Bensonhurst West,2,1,9.3
Hudson Sq,Bensonhurst West,4,1,37.325
Hudson Sq,Kew Gardens,4,1,52.9225
Hunts Point,East Harlem North,1,1,13.8
Jackson Heights,Richmond Hill,14,1,31.410714285714285
Kips Bay,East Elmhurst,26,1,38.13346153846154
Kips Bay,Flushing Meadows-Corona Park,5,1,39.124
Kips Bay,Heartland Village/Todt Hill,1,1,56.88
Lenox Hill East,Two Bridges/Seward Park,469,1,18.83513859275052
Lenox Hill West,Manhattan Beach,2,1,54.55
Lincoln Square East,Flatiron,1786,1,14.719462486002277
Lincoln Square East,Prospect-Lefferts Gardens,43,1,45.035348837209305
Lincoln Square West,Red Hook,3,1,35.99333333333333
Little Italy/NoLiTa,Baisley Park,2,1,49.129999999999995
Little Italy/NoLiTa,Upper West Side North,357,1,27.98319327731091
Long Island City/Queens Plaza,Astoria,1281,1,8.881803278688507
Lower East Side,Marble Hill,2,1,46.275
Meatpacking/West Village West,Bensonhurst East,15,1,44.51199999999999
Meatpacking/West Village West,Clinton East,3222,1,13.379236499068963
Melrose South,Bedford Park,3,1,18.46666666666667
Midtown Center,Flatiron,4222,1,12.604988157271483
Midtown Center,Kew Gardens Hills,42,1,49.039047619047615
Midtown East,Crown Heights North,146,1,37.7140410958904
Midtown East,Pelham Parkway,25,1,41.404399999999995
Midtown North,East Tremont,15,1,36.15933333333333
Midtown North,Fresh Meadows,22,1,39.76045454545454
Morningside Heights,Marble Hill,10,1,24.048000000000002
Mott Haven/Port Morris,LaGuardia Airport,2,1,27.59
Mott Haven/Port Morris,Manhattan Valley,17,1,16.47705882352941
Mott Haven/Port Morris,Pelham Parkway,4,1,22.925
NV,Bedford,36,1,28.53722222222222
NV,East Concourse/Concourse Village,20,1,26.184500000000003
NV,Rosedale,4,1,13.565000000000001
Norwood,Midtown East,2,1,68.44
Ocean Hill,Bedford,11,1,17.030909090909095
Ocean Parkway South,Midtown Center,1,1,56.8
Old Astoria,Downtown Brooklyn/MetroTech,1,1,35.75
Ozone Park,Queens Village,2,1,37.48
Prospect Heights,Bushwick South,36,1,19.977777777777778
Prospect Heights,Clinton West,8,1,31.740000000000002
Prospect Heights,Cypress Hills,2,1,20.8
Prospect Heights,East New York,13,1,22.774615384615387
Queensbridge/Ravenswood,Clinton Hill,3,1,24.653333333333332
Red Hook,Park Slope,15,1,14.217999999999998
Richmond Hill,Morningside Heights,1,1,0.3
Seaport,Bedford,49,1,22.53612244897959
SoHo,Carroll Gardens,175,1,20.025771428571428
SoHo,Clinton Hill,316,1,20.99968354430379
South Ozone Park,Park Slope,5,1,46.123999999999995
South Ozone Park,Times Sq/Theatre District,8,1,66.47874999999999
South Williamsburg,Lincoln Square East,1,1,28.8
Steinway,Borough Park,1,1,46.88
Steinway,Flushing Meadows-Corona Park,1,1,15.3
Stuy Town/Peter Cooper Village,Bushwick North,23,1,25.39782608695652
Stuyvesant Heights,Flatlands,6,1,22.651666666666667
Stuyvesant Heights,UN/Turtle Bay South,1,1,23.8
Sunnyside,East Concourse/Concourse Village,14,1,36.18714285714286
Sunnyside,Pelham Bay Park,1,1,45.84
Times Sq/Theatre District,Upper West Side North,4889,1,14.700308856616859
Two Bridges/Seward Park,Crotona Park,1,1,47.25
Two Bridges/Seward Park,Van Nest/Morris Park,3,1,45.133333333333326
UN/Turtle Bay South,Rego Park,33,1,35.03636363636364
Union Sq,Flushing,28,1,46.98321428571428
University Heights/Morris Heights,Midtown Center,1,1,28.8
Upper East Side North,Highbridge Park,10,1,24.729000000000003
Upper East Side South,Parkchester,15,1,34.836
Upper West Side North,Financial District North,215,1,32.941395348837204
Upper West Side South,Highbridge,40,1,24.524250000000002
Van Cortlandt Village,Claremont/Bathgate,3,1,19.33666666666667
Van Cortlandt Village,Spuyten Duyvil/Kingsbridge,3,1,6.966666666666668
Van Nest/Morris Park,Claremont/Bathgate,3,1,13.816666666666668
Washington Heights North,Woodside,1,1,44.0
West Chelsea/Hudson Yards,Marine Park/Mill Basin,4,1,46.910000000000004
West Chelsea/Hudson Yards,Van Cortlandt Park,7,1,41.18714285714286
West Farms/Bronx River,Astoria,1,1,42.25
Williamsburg (North Side),Elmhurst/Maspeth,20,1,18.985000000000003
Williamsburg (North Side),Lincoln Square East,38,1,33.34605263157895
Williamsburg (North Side),Richmond Hill,3,1,29.633333333333336
Williamsburg (North Side),Schuylerville/Edgewater Park,1,1,55.84
Williamsburg (South Side),World Trade Center,28,1,18.806428571428572
Woodside,Manhattan Valley,16,1,27.156875000000003
Woodside,West Village,10,1,47.426
Yorkville East,Borough Park,7,1,46.294285714285714
Yorkville West,Lincoln Square East,4114,1,13.809346135148306
Bay Ridge,Bloomingdale,1,1,46.8
Belmont,Penn Station/Madison Sq West,1,1,45.3
Bensonhurst East,Bath Beach,2,1,12.18
Bloomingdale,Long Island City/Queens Plaza,5,1,23.472
Bloomingdale,Penn Station/Madison Sq West,187,1,22.12139037433155
Borough Park,Flatlands,1,1,20.3
Briarwood/Jamaica Hills,Stuy Town/Peter Cooper Village,1,1,70.01
Brooklyn Navy Yard,Columbia Street,3,1,15.903333333333336
Bushwick North,Spuyten Duyvil/Kingsbridge,2,1,55.32
Central Harlem,Manhattanville,872,1,8.501169724770627
Central Harlem North,Elmhurst,4,1,37.8575
Central Park,Crown Heights North,24,1,46.99791666666667
Central Park,Seaport,91,1,28.745054945054946
Clinton East,Rego Park,88,1,34.05875
Cobble Hill,Dyker Heights,3,1,23.486666666666668
College Point,Steinway,2,1,15.05
East Concourse/Concourse Village,Spuyten Duyvil/Kingsbridge,1,1,20.3
East Harlem North,East Harlem North,4340,1,7.502880184331875
East Harlem South,Park Slope,21,1,45.73904761904762
East Harlem South,Westchester Village/Unionport,23,1,27.328260869565216
East New York,Bay Ridge,1,1,49.3
East New York,Park Slope,1,1,23.15
East Tremont,Crotona Park,2,1,4.8
East Village,Bay Ridge,320,1,39.67928124999999
East Village,Jamaica,19,1,46.16736842105262
East Village,Randalls Island,10,1,38.107
East Village,West Farms/Bronx River,15,1,37.38333333333333
East Williamsburg,Cypress Hills,4,1,21.85
Financial District North,SoHo,1318,1,12.033535660091047
Flatiron,East Elmhurst,18,1,42.58833333333334
Flushing Meadows-Corona Park,South Ozone Park,7,1,34.39857142857143
Fort Greene,Brooklyn Heights,235,1,10.033021276595749
Fort Greene,Spuyten Duyvil/Kingsbridge,2,1,56.595
Garment District,Springfield Gardens South,16,1,59.578125
Gowanus,Greenpoint,15,1,28.767333333333333
Gowanus,Madison,2,1,28.825000000000003
Gramercy,Cypress Hills,3,1,32.85
Gramercy,Kew Gardens Hills,10,1,41.278000000000006
Gramercy,Midtown East,8946,1,11.134511513525478
Gramercy,South Williamsburg,144,1,18.140972222222228
Greenpoint,Lincoln Square West,2,1,28.65
Greenpoint,Upper East Side North,10,1,26.828000000000003
Greenpoint,Westchester Village/Unionport,1,1,61.54
Greenwich Village North,Longwood,10,1,31.590000000000003
Hamilton Heights,Cobble Hill,5,1,41.0
Homecrest,Battery Park City,1,1,37.79
Homecrest,Homecrest,101,1,17.50811881188119
Homecrest,Marine Park/Floyd Bennett Field,1,1,24.8
Hudson Sq,Bedford Park,2,1,41.8
Hudson Sq,Sutton Place/Turtle Bay North,332,1,21.233192771084326
JFK Airport,Forest Park/Highland Park,24,1,30.994583333333328
Kew Gardens Hills,Forest Hills,52,1,10.326153846153845
Kips Bay,Rosedale,3,1,58.326666666666675
LaGuardia Airport,Country Club,41,1,39.633658536585365
LaGuardia Airport,Sheepshead Bay,58,1,68.38396551724136
Lincoln Square West,Hillcrest/Pomonok,3,1,48.47
Long Island City/Hunters Point,Financial District North,13,1,47.916923076923084
Long Island City/Hunters Point,Ridgewood,30,1,21.086
Long Island City/Queens Plaza,Corona,20,1,23.122500000000002
Long Island City/Queens Plaza,Garment District,67,1,19.70671641791045
Long Island City/Queens Plaza,Long Island City/Hunters Point,417,1,8.535131894484415
Long Island City/Queens Plaza,NA,13,1,82.20692307692308
Manhattanville,Battery Park,1,1,38.15
Maspeth,Gramercy,6,1,69.805
Meatpacking/West Village West,Penn Station/Madison Sq West,3791,1,10.431458718016414
Melrose South,Riverdale/North Riverdale/Fieldston,3,1,23.266666666666666
Middle Village,Bushwick North,1,1,12.8
Midtown Center,Bay Ridge,160,1,52.2909375
Midtown Center,Ridgewood,62,1,32.45451612903226
Midtown Center,Whitestone,21,1,53.481428571428566
Midtown North,Claremont/Bathgate,8,1,32.587500000000006
Midtown South,Bellerose,7,1,60.18285714285715
Morningside Heights,Bloomingdale,1294,1,7.110734157650678
Morningside Heights,Chinatown,13,1,35.230000000000004
Morrisania/Melrose,Clinton East,1,1,40.02
Morrisania/Melrose,Soundview/Bruckner,1,1,11.8
Mott Haven/Port Morris,Penn Station/Madison Sq West,4,1,35.85
Murray Hill,Bushwick South,182,1,31.358681318681313
Norwood,Bedford Park,1,1,7.3
Ocean Hill,Alphabet City,1,1,28.3
Old Astoria,Garment District,16,1,28.490625
Park Slope,Stuy Town/Peter Cooper Village,17,1,24.452941176470592
Randalls Island,UN/Turtle Bay South,4,1,64.175
Red Hook,Downtown Brooklyn/MetroTech,13,1,13.458461538461538
Red Hook,Dyker Heights,1,1,17.8
Richmond Hill,Old Astoria,2,1,75.05
Richmond Hill,Springfield Gardens North,1,1,17.3
Ridgewood,Clinton East,1,1,35.76
Ridgewood,Financial District North,1,1,32.3
Seaport,Brownsville,5,1,31.96
SoHo,Garment District,1018,1,14.941168958742631
SoHo,Gramercy,2148,1,11.598049348230942
Soundview/Bruckner,Westchester Village/Unionport,4,1,8.05
South Ozone Park,Brighton Beach,2,1,54.225
Springfield Gardens South,NV,8,1,25.27375
Steinway,Kingsbridge Heights,1,1,44.84
Sunnyside,North Corona,118,1,17.732711864406784
Sunset Park West,Clinton Hill,10,1,18.693000000000005
Sunset Park West,Columbia Street,4,1,12.7175
Sunset Park West,Midtown East,8,1,40.052499999999995
TriBeCa/Civic Center,Brooklyn Navy Yard,65,1,16.709384615384618
TriBeCa/Civic Center,Country Club,1,1,48.8
TriBeCa/Civic Center,Mariners Harbor,2,1,67.13
TriBeCa/Civic Center,Rosedale,2,1,97.935
UN/Turtle Bay South,Westerleigh,1,1,64.38
Upper East Side South,Cambria Heights,2,1,56.07
Upper East Side South,Van Nest/Morris Park,18,1,40.246111111111105
Upper West Side North,Crown Heights North,18,1,53.08388888888888
Upper West Side South,East Flatbush/Farragut,3,1,49.830000000000005
Upper West Side South,Fort Greene,58,1,38.44258620689655
Upper West Side South,JFK Airport,1259,1,66.41898332009538
Upper West Side South,Upper East Side North,17344,1,10.585844095940722
Van Cortlandt Village,Soundview/Castle Hill,1,1,56.7
West Concourse,Garment District,2,1,33.63
West Concourse,JFK Airport,3,1,64.34
West Village,Inwood,123,1,40.42943089430894
West Village,University Heights/Morris Heights,12,1,37.72833333333333
Windsor Terrace,Manhattan Beach,1,1,39.8
World Trade Center,Soundview/Castle Hill,5,1,51.312
Yorkville West,Bloomingdale,513,1,13.876998050682252
Alphabet City,Briarwood/Jamaica Hills,4,1,43.3125
Astoria Park,NA,4,1,179.0825
Baisley Park,Midtown North,47,1,64.65489361702129
Bay Ridge,Penn Station/Madison Sq West,1,1,33.8
Bedford,Sunnyside,7,1,21.195714285714285
Brooklyn Navy Yard,Bedford,16,1,9.530625
Bushwick North,Queensbridge/Ravenswood,2,1,36.21
Bushwick North,West Chelsea/Hudson Yards,4,1,31.237499999999997
Carroll Gardens,Downtown Brooklyn/MetroTech,199,1,9.723668341708546
Central Harlem,Bushwick North,5,1,46.928
Central Harlem North,Fordham South,14,1,18.264285714285716
Clinton West,Alphabet City,143,1,22.20090909090909
Clinton West,Bay Terrace/Fort Totten,5,1,57.73199999999999
Clinton West,Bloomingdale,289,1,14.896366782006918
Clinton West,Brighton Beach,8,1,65.81375000000001
Clinton West,Midtown South,1816,1,12.648694933920739
Coney Island,TriBeCa/Civic Center,2,1,53.07
Crown Heights North,Long Island City/Queens Plaza,1,1,36.0
DUMBO/Vinegar Hill,Douglaston,1,1,118.3
DUMBO/Vinegar Hill,Gramercy,42,1,18.226666666666667
DUMBO/Vinegar Hill,Times Sq/Theatre District,42,1,27.129285714285714
Downtown Brooklyn/MetroTech,Clinton West,42,1,24.483333333333338
East Chelsea,Hammels/Arverne,1,1,80.92
East Chelsea,Kew Gardens,18,1,49.541111111111114
East Harlem South,UN/Turtle Bay South,389,1,17.1829562982005
East Village,Sheepshead Bay,28,1,55.47607142857144
East Village,Woodside,399,1,26.85383458646615
Elmhurst/Maspeth,East Concourse/Concourse Village,1,1,44.34
Financial District North,Kips Bay,1248,1,18.605689102564128
Financial District North,Manhattan Beach,8,1,55.985
Financial District North,Westerleigh,1,1,70.12
Flatiron,Co-Op City,5,1,55.938
Flatlands,Marine Park/Floyd Bennett Field,1,1,11.8
Flushing,Auburndale,5,1,14.992
Flushing,Murray Hill-Queens,26,1,8.366153846153846
Forest Hills,Bath Beach,1,1,65.76
Forest Hills,Woodhaven,13,1,15.544615384615385
Garment District,NV,225,1,13.56422222222222
Garment District,Park Slope,368,1,35.66551630434782
Garment District,Yorkville East,895,1,18.813139664804474
Gramercy,Ozone Park,7,1,50.18571428571429
Gramercy,Stapleton,5,1,57.508
Green-Wood Cemetery,Coney Island,1,1,27.72
Greenpoint,Richmond Hill,7,1,35.371428571428574
Greenwich Village North,Financial District South,664,1,15.678599397590348
Greenwich Village North,Upper West Side North,775,1,24.7677806451613
Hamilton Heights,Yorkville East,36,1,21.290277777777778
Highbridge Park,East Harlem South,1,1,18.3
JFK Airport,Flatiron,1915,1,67.73713838120104
JFK Airport,NV,687,1,46.06457059679775
Jackson Heights,Financial District North,8,1,50.62375
Jackson Heights,Kew Gardens,6,1,30.043333333333333
Jamaica Estates,Central Harlem North,1,1,55.34
Kips Bay,Gravesend,4,1,48.81
LaGuardia Airport,Flatiron,2003,1,48.9152421367948
Lincoln Square East,Cypress Hills,2,1,43.3
Little Italy/NoLiTa,Inwood,31,1,45.22709677419355
Little Italy/NoLiTa,Van Nest/Morris Park,4,1,53.58500000000001
Long Island City/Queens Plaza,Financial District North,29,1,31.067586206896546
Longwood,Kingsbridge Heights,1,1,22.8
Manhattan Valley,West Chelsea/Hudson Yards,812,1,19.312450738916265
Manhattanville,Central Harlem,890,1,8.69189887640448
Meatpacking/West Village West,Brooklyn Heights,332,1,21.49846385542168
Meatpacking/West Village West,TriBeCa/Civic Center,5407,1,10.926765304235264
Midtown North,Chinatown,221,1,23.947556561085968
